Attribute,Value
Number Critical Scenarios,410
Number Critical Scenarios (duplicate free),108
Number All Scenarios,1000
Number All Scenarios (duplicate free),298
Number Best Critical Scenarios,160
Number Best Critical Scenarios (duplicate free),31
Number Best Scenarios,318
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.41
Ratio Critical/All scenarios (duplicate free),0.36
Ratio Best Critical/Best Scenarios,0.50
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999935  0.779628]
Input value of critical (first of population of interest),[ 0.89727  -5.267222  1.756326]
