Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
101,0.955767,1.726710,2.131061,-0.000000,-2.688842,0
102,0.692230,0.557074,4.620686,-0.000000,-1.893694,0
103,0.223495,1.954573,2.156208,-0.000072,-0.982013,0
104,0.654466,1.954299,3.503708,-0.000001,-1.933025,0
105,0.201700,0.675023,2.346920,-0.072417,-0.809591,0
106,0.463524,0.671936,1.081527,-0.977798,-1.478261,1
107,0.272516,0.789805,0.933321,-0.088851,-0.988417,0
108,0.514184,0.845548,2.844072,-0.000022,-1.600754,0
109,0.694726,1.705815,0.518490,-0.118779,-2.005469,0
110,0.165930,0.519639,4.987632,-0.000001,-0.713001,0
111,0.152322,1.750417,0.735639,-0.000001,-0.884201,0
112,0.492488,0.842909,3.745698,-0.000000,-1.547796,0
113,0.775256,1.681716,4.433731,-0.000000,-2.015973,0
114,0.281940,0.678956,1.902246,-0.351313,-0.450019,0
115,0.372820,0.528119,3.698662,-0.000000,-1.239844,0
116,0.613049,1.762848,2.357901,-0.211208,-1.127983,0
117,0.204731,1.299108,4.021401,-0.010067,-0.848922,0
118,0.632775,1.442479,2.909660,-0.001583,-1.876583,0
119,0.926294,1.928836,3.142084,-0.000000,-2.476307,0
120,0.997796,1.342929,1.060924,-0.000631,-2.916341,0
121,0.778332,1.206447,3.279952,-0.000000,-2.119857,0
122,0.369211,1.881412,4.002000,-0.282426,-0.013756,0
123,0.361660,1.966337,2.512093,-0.009954,-1.263515,0
124,0.321117,0.640304,0.771471,-0.990549,-1.602201,1
125,0.841052,1.626340,2.954569,-0.000000,-2.416698,0
126,0.862204,0.805250,1.909382,-0.000000,-2.348338,0
127,0.370883,1.647021,2.581818,-0.045935,-1.278421,0
128,0.151311,1.124465,1.697538,-0.000087,-0.761041,0
129,0.288463,1.188086,4.239429,-0.330830,-0.052174,0
130,0.175061,1.599862,1.777373,-0.000024,-0.865419,0
131,0.629370,1.264297,2.782280,-0.000304,-1.863902,0
132,0.809149,1.930135,4.059953,-0.000000,-2.124982,0
133,0.411763,1.104628,3.728530,-0.699020,-1.364159,0
134,0.685218,1.321413,2.524130,-0.000159,-2.001123,0
135,0.793165,1.348314,1.846098,-0.003841,-2.149528,0
136,0.797324,1.909772,2.654428,-0.000001,-2.170506,0
137,0.170685,1.295947,2.246014,-0.000173,-0.815315,0
138,0.730941,1.954169,4.167135,-0.000000,-2.046404,0
139,0.197554,1.042733,3.556041,-0.018925,-0.816082,0
