n_evals,cid
40,0.2880570162849009
80,0.26043903862078427
120,0.22413029783891142
160,0.22386970072441914
200,0.22241824781364988
240,0.21986557370660728
280,0.21888232250973874
320,0.21878912792581343
360,0.2181289290066273
400,0.21792050674718796
440,0.21783638281546985
480,0.21774662505492845
520,0.2176250201955395
560,0.2067142490147362
600,0.20670274934530639
640,0.20669591452689737
680,0.20584801337546513
720,0.20546232957416885
760,0.20544470379904037
800,0.20339278008079179
840,0.20280993446016513
880,0.20279378512489163
920,0.19711860088366132
960,0.1970665940916347
1000,0.19706539361926412
1040,0.19691484971801704
1080,0.19426726102684397
1120,0.1942055582623667
1160,0.19407316477367084
1200,0.19406914086182087
1240,0.19402698664566442
1280,0.19401074655519246
1320,0.19394325026980716
1360,0.19393956234354923
1400,0.19375659580003832
1440,0.19358044623315568
1480,0.19358015897106734
1520,0.19356544173950924
1560,0.19355817755703883
1600,0.19353637012387176
1640,0.19350813732456712
1680,0.1935064988504281
1720,0.1935064988504281
1760,0.19349978925153943
1800,0.19349833340044603
1840,0.1934892381330468
1880,0.19346321010802123
1920,0.19346321010802123
1960,0.19346321010802123
2000,0.19346304018339508
