n_evals,hv_all
40,0.0
80,0.2509562577797369
120,0.2597471097345113
160,0.2599951289329241
200,0.30318594039947366
240,0.31588984104270557
280,0.3487452913014686
320,0.3493665076698502
360,0.35172623033638184
400,0.3711321913136334
440,0.4008803657274724
480,0.4010380902345697
520,0.4013714340115218
560,0.4013984977454439
600,0.40149348979792754
640,0.4029471349638317
680,0.4030277655898564
720,0.4030485814558839
760,0.40307335374656833
800,0.41288616705993336
840,0.41356793385994955
880,0.413684566839049
920,0.41377156271113147
960,0.4138748156783175
1000,0.4141808535873967
1040,0.4146592045927867
1080,0.4147486300753719
1120,0.414816426230713
1160,0.414816426230713
1200,0.41852301718089174
1240,0.41852301718089174
1280,0.4185920608837027
1320,0.4199262680622428
1360,0.4199263672860763
1400,0.4199453221291381
1440,0.423712420654887
1480,0.423712420654887
1520,0.4237128285398539
1560,0.42371285955747295
1600,0.423770322953691
1640,0.423770322953691
1680,0.42407596464165725
1720,0.4243206417395501
1760,0.4243206417395501
1800,0.42496411234483294
1840,0.42496411234483294
1880,0.42499862143170175
1920,0.42499862143170175
1960,0.42499862143170175
2000,0.4258038671928673
