Attribute,Value
Number Critical Scenarios,932
Number Critical Scenarios (duplicate free),273
Number All Scenarios,1000
Number All Scenarios (duplicate free),317
Number Best Critical Scenarios,20
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.93
Ratio Critical/All scenarios (duplicate free),0.86
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999964  0.84259147]
Input value of critical (first of population of interest),[-1.47051393 -7.98794957  3.7645438 ]
