Attribute,Value
Number Critical Scenarios,246
Number Critical Scenarios (duplicate free),246
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,13
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.25
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,0.93
Ratio Best Critical/Best Scenarios (duplicate free),0.93
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999994  0.81400561  0.        ]
Input value of critical (first of population of interest),[-5.93438925 -3.77554792  4.28875916]
