Attribute,Value
Number Critical Scenarios,759
Number Critical Scenarios (duplicate free),218
Number All Scenarios,1000
Number All Scenarios (duplicate free),332
Number Best Critical Scenarios,297
Number Best Critical Scenarios (duplicate free),44
Number Best Scenarios,339
Number Best Scenarios (duplicate free),50
Ratio Critical/All scenarios,0.76
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,0.88
Ratio Best Critical/Best Scenarios (duplicate free),0.88
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-1.        0.820317]
Input value of critical (first of population of interest),[6.297207 1.122767 9.026182]
