Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
195,0.332237,1.197514,4.714939,-0.980418,-1.133521,-12.718929,0
196,0.999892,1.045358,3.993883,-0.000000,-2.921214,-12.433805,0
197,0.332209,0.962250,4.361109,-0.980019,-1.133746,-11.515431,0
198,0.854623,1.492638,0.514094,-0.106767,-2.531870,-12.718929,0
199,0.856704,1.492520,0.655586,-0.294571,-4.037025,-0.000000,0
200,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
201,0.326751,0.962250,4.361109,-0.997436,-1.121272,-12.433805,0
202,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578,0
203,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578,1
204,0.326201,0.973344,4.361109,-0.998508,-1.120283,-12.028578,0
205,0.834256,1.418337,0.660262,-0.554279,-4.351011,-12.718929,0
206,0.648477,0.885856,0.656542,-0.814715,-2.822933,-12.718929,1
207,0.597175,0.790043,0.467906,-0.983385,-2.725069,-12.718929,1
208,0.322581,0.864655,3.957797,-0.997990,-1.108396,-12.718929,0
209,0.354554,1.198985,4.370186,-0.995460,-1.195071,-12.718929,0
210,0.356382,1.045358,4.005900,-0.992731,-1.200934,-12.118211,0
211,0.518184,1.627583,3.130690,-0.985394,-1.612838,-12.118211,0
212,0.321944,0.905793,3.993883,-0.998223,-1.106963,-12.118211,0
213,0.855323,1.441265,0.636280,-0.602003,-4.352430,-12.118211,0
214,0.650864,0.883656,0.656542,-0.851452,-2.912157,-12.118211,1
215,0.854881,1.492520,0.655882,-0.283812,-4.034988,-12.433805,0
216,0.885186,1.882342,1.325308,-0.427411,-2.929619,-12.433805,0
217,0.854881,1.504755,0.662360,-0.246777,-3.914718,-12.718929,0
218,0.851559,1.492520,0.655586,-0.245308,-3.917154,-12.718929,0
219,0.332237,1.197514,4.505863,-0.982690,-1.621253,-12.433805,0
220,0.521024,1.627583,3.130690,-0.978555,-1.622628,-0.000000,0
221,0.571410,0.785111,0.511800,-0.973039,-2.669262,-12.718929,1
222,0.332237,1.195314,4.505863,-0.982546,-1.621253,-12.718929,0
223,0.322581,0.861845,3.957797,-0.997508,-1.108396,-12.118211,0
224,0.316809,0.904023,3.993883,-0.983021,-1.090519,-12.433805,0
225,0.351276,1.203981,4.440459,-0.990705,-1.183184,-12.118211,0
226,0.321944,0.905752,3.993883,-0.998217,-1.106963,-12.028578,0
227,0.856704,1.470802,0.651665,-0.434982,-4.280757,-12.118211,0
228,0.815336,1.411870,0.725393,-0.540630,-4.247092,-12.118211,0
229,0.648477,0.883656,0.656542,-0.845260,-2.822933,-12.028578,1
230,0.648984,0.885856,0.656542,-0.799068,-2.738910,-12.118211,0
231,0.316809,0.904023,4.051276,-0.981721,-1.090519,-12.718929,0
232,0.322581,0.864655,3.993883,-0.996537,-1.108396,-0.000000,0
233,0.854623,1.492520,0.674719,-0.325946,-4.141293,-12.028578,0
234,0.856712,1.490791,0.585830,-0.180770,-3.636925,-12.718929,0
235,0.639530,1.669067,2.263340,-0.517914,-3.274133,-12.118211,0
236,0.571410,0.806829,0.515721,-0.714546,-2.565351,-12.118211,0
237,0.648830,0.832622,0.655581,-0.849698,-1.932076,-12.118211,0
238,0.354559,1.197396,4.663465,-0.933101,-1.195071,-12.718929,0
239,0.890592,1.524857,0.674719,-0.341562,-2.293402,-12.718929,0
240,0.354559,1.197514,4.505863,-0.999555,-1.195071,-0.000000,0
241,0.356889,1.045358,4.005900,-0.990851,-1.202822,-12.028578,0
242,0.592760,0.790043,0.467906,-0.986710,-2.720528,-12.028578,1
243,0.834256,1.418337,0.660262,-0.554279,-4.351011,-12.718929,0
244,0.648477,0.885856,0.656542,-0.814715,-2.822933,-12.718929,1
245,0.597175,0.790043,0.467906,-0.983385,-2.725069,-12.718929,1
246,0.322581,0.864655,3.957797,-0.997990,-1.108396,-12.718929,0
247,0.354554,1.198985,4.370186,-0.995460,-1.195071,-12.718929,0
248,0.356382,1.045358,4.005900,-0.992731,-1.200934,-12.118211,0
