run,RS,NSGA-II-D,NSGA-II
1,0.1355145831633259,0.3786222981377846,0.28478198569099883
2,0.14668939379297619,0.22433556456270695,0.32592014959689936
3,0.1449243970509186,0.2764644629565866,0.4307604623723558
4,0.1443193380883607,0.2078606905351163,0.2709142394724411
5,0.1411314998155077,0.19431983639032743,0.2792236220190561
6,0.14630704736298483,0.19771964218526214,0.3153372034109685
7,0.14693513365201927,0.3238893380446636,0.3171755347888318
8,0.14350437727529733,0.194093284444187,0.2928165888279923
9,0.14377581692286803,0.24733736315967855,0.29420321004265065
10,0.14103513531528875,0.434478475647531,0.2951982684575839
