Attribute,Value
Number Critical Scenarios,277
Number Critical Scenarios (duplicate free),102
Number All Scenarios,1000
Number All Scenarios (duplicate free),284
Number Best Critical Scenarios,102
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,441
Number Best Scenarios (duplicate free),60
Ratio Critical/All scenarios,0.28
Ratio Critical/All scenarios (duplicate free),0.36
Ratio Best Critical/Best Scenarios,0.23
Ratio Best Critical/Best Scenarios (duplicate free),0.35
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999907  0.830437 -3.454531]
Input value of critical (first of population of interest),[1.415838 7.913009 6.070913]
