Attribute,Value
Number Critical Scenarios,324
Number Critical Scenarios (duplicate free),64
Number All Scenarios,1000
Number All Scenarios (duplicate free),215
Number Best Critical Scenarios,259
Number Best Critical Scenarios (duplicate free),29
Number Best Scenarios,625
Number Best Scenarios (duplicate free),71
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.30
Ratio Best Critical/Best Scenarios,0.41
Ratio Best Critical/Best Scenarios (duplicate free),0.41
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999973  0.766387  0.      ]
Input value of critical (first of population of interest),[ 4.410564 -6.070377  1.991871]
