Attribute,Value
Number Critical Scenarios,1201
Number Critical Scenarios (duplicate free),180
Number All Scenarios,2000
Number All Scenarios (duplicate free),362
Number Best Critical Scenarios,65
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,205
Number Best Scenarios (duplicate free),17
Ratio Critical/All scenarios,0.60
Ratio Critical/All scenarios (duplicate free),0.50
Ratio Best Critical/Best Scenarios,0.32
Ratio Best Critical/Best Scenarios (duplicate free),0.53
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.992729 -1.201957]
Input value of critical (first of population of interest),[0.356646 1.166067 4.347474]
