Attribute,Value
Number Critical Scenarios,496
Number Critical Scenarios (duplicate free),102
Number All Scenarios,1000
Number All Scenarios (duplicate free),217
Number Best Critical Scenarios,202
Number Best Critical Scenarios (duplicate free),32
Number Best Scenarios,437
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.50
Ratio Critical/All scenarios (duplicate free),0.47
Ratio Best Critical/Best Scenarios,0.46
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.997158  0.826553  0.      ]
Input value of critical (first of population of interest),[-0.351218 -4.644718  1.706113]
