Attribute,Value
Number Critical Scenarios,730
Number Critical Scenarios (duplicate free),230
Number All Scenarios,1000
Number All Scenarios (duplicate free),381
Number Best Critical Scenarios,69
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,82
Number Best Scenarios (duplicate free),24
Ratio Critical/All scenarios,0.73
Ratio Critical/All scenarios (duplicate free),0.60
Ratio Best Critical/Best Scenarios,0.84
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.994365  0.779922]
Input value of critical (first of population of interest),[-5.791488  3.365734  5.253077]
