Attribute,Value
Number Critical Scenarios,977
Number Critical Scenarios (duplicate free),258
Number All Scenarios,1000
Number All Scenarios (duplicate free),278
Number Best Critical Scenarios,256
Number Best Critical Scenarios (duplicate free),42
Number Best Scenarios,256
Number Best Scenarios (duplicate free),42
Ratio Critical/All scenarios,0.98
Ratio Critical/All scenarios (duplicate free),0.93
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999457  0.821199]
Input value of critical (first of population of interest),[-4.212737 -1.352815  2.640345]
