Attribute,Value
Number Critical Scenarios,874
Number Critical Scenarios (duplicate free),153
Number All Scenarios,1000
Number All Scenarios (duplicate free),182
Number Best Critical Scenarios,18
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.87
Ratio Critical/All scenarios (duplicate free),0.84
Ratio Best Critical/Best Scenarios,0.90
Ratio Best Critical/Best Scenarios (duplicate free),0.90
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.9879601   0.70046686  0.        ]
Input value of critical (first of population of interest),[-7.69602258 -6.43758778 13.92243496]
