Attribute,Value
Number Critical Scenarios,287
Number Critical Scenarios (duplicate free),55
Number All Scenarios,1000
Number All Scenarios (duplicate free),193
Number Best Critical Scenarios,227
Number Best Critical Scenarios (duplicate free),21
Number Best Scenarios,593
Number Best Scenarios (duplicate free),54
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.28
Ratio Best Critical/Best Scenarios,0.38
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.817255  0.      ]
Input value of critical (first of population of interest),[-2.157927  7.83394   3.749401]
