Attribute,Value
Number Critical Scenarios,119
Number Critical Scenarios (duplicate free),33
Number All Scenarios,1000
Number All Scenarios (duplicate free),251
Number Best Critical Scenarios,53
Number Best Critical Scenarios (duplicate free),13
Number Best Scenarios,446
Number Best Scenarios (duplicate free),59
Ratio Critical/All scenarios,0.12
Ratio Critical/All scenarios (duplicate free),0.13
Ratio Best Critical/Best Scenarios,0.12
Ratio Best Critical/Best Scenarios (duplicate free),0.22
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.952084  0.818562 -2.033271]
Input value of critical (first of population of interest),[ 3.369955 -7.39176   2.385702]
