Attribute,Value
Number Critical Scenarios,514
Number Critical Scenarios (duplicate free),91
Number All Scenarios,1000
Number All Scenarios (duplicate free),230
Number Best Critical Scenarios,359
Number Best Critical Scenarios (duplicate free),33
Number Best Scenarios,601
Number Best Scenarios (duplicate free),71
Ratio Critical/All scenarios,0.51
Ratio Critical/All scenarios (duplicate free),0.40
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.46
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.766835  0.738855  0.      ]
Input value of critical (first of population of interest),[-5.393862  3.678628  1.464724]
