Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,-5.376860,2.378881,12.908144,0.999876,0.778638,0.000000,0
1,-5.554446,3.344305,11.527665,0.941562,0.790988,0.000000,0
2,-0.691011,-6.627445,17.135648,0.999473,0.745577,0.000000,0
3,-5.751730,-3.095234,18.397296,0.979585,0.730006,0.000000,0
4,-6.241938,0.382253,8.367390,0.981616,0.779782,0.000000,0
5,-1.931573,-1.151839,8.704282,0.999135,0.754452,0.000000,0
6,-3.039385,5.083382,15.671271,0.779172,0.796493,0.000000,0
7,0.256028,-2.804082,15.451866,0.999686,0.795112,0.000000,0
8,-7.439518,6.332034,4.781145,-0.999999,0.841078,0.000000,1
9,6.555171,7.929675,5.428727,0.853254,0.753509,0.000000,0
10,5.580511,0.169589,12.845258,0.995799,0.754871,0.000000,0
11,6.108212,0.254397,1.558708,0.998108,0.800354,0.000000,0
12,6.783712,-7.044181,7.089117,-0.999980,0.848750,0.000000,1
13,-5.258312,7.260877,6.823347,0.999983,0.763803,0.000000,0
14,4.385423,-0.073929,20.116734,0.999997,0.803189,0.000000,0
15,-1.745419,-6.126823,22.196031,0.930158,0.794281,0.000000,0
16,-3.572682,-2.386866,16.797468,0.999799,0.782529,0.000000,0
17,5.134367,0.755827,15.832215,0.999948,0.783594,0.000000,0
18,-0.161080,-4.637494,20.651224,0.431016,0.741302,0.000000,0
19,2.967324,3.379564,21.158121,0.999960,0.797085,0.000000,0
20,6.534865,3.858192,20.499714,0.999573,0.796528,0.000000,0
21,5.850850,2.087821,6.133084,0.031791,0.763070,0.000000,0
22,-5.060666,1.803397,7.534458,0.998541,0.795098,0.000000,0
23,1.591339,-2.023094,1.039653,0.999874,0.803976,0.000000,0
24,-2.215786,3.903009,19.973210,0.798617,0.743075,0.000000,0
25,4.163004,3.690922,2.972283,0.989327,0.777109,0.000000,0
26,-3.751267,4.300895,1.123133,0.836480,0.793158,0.000000,0
27,4.578450,4.808528,13.789338,0.999946,0.749542,0.000000,0
28,-3.539426,5.825752,20.204647,0.451801,0.712730,0.000000,0
29,2.521379,5.671766,1.915364,0.976706,0.770816,0.000000,0
30,-3.751434,6.100719,1.793438,0.997410,0.763187,0.000000,0
31,7.122387,-5.295023,0.803544,0.999926,0.793710,0.000000,0
32,3.687638,-1.555773,5.588440,0.935184,0.735440,0.000000,0
33,3.276683,-3.298271,13.838212,0.999985,0.784984,0.000000,0
34,-4.877835,-3.252357,4.770401,0.998697,0.828919,0.000000,0
35,5.141805,2.816243,4.627379,0.382781,0.732330,0.000000,0
36,4.690628,1.833179,15.495534,0.999583,0.774251,0.000000,0
37,-2.099612,4.175151,0.475977,0.999721,0.805734,0.000000,0
38,-3.267357,-4.155570,12.360366,0.991992,0.801442,0.000000,0
39,1.673153,6.042290,13.825736,0.999279,0.750457,0.000000,0
40,3.583088,-4.323732,14.231277,0.999995,0.781162,0.000000,0
41,7.668533,4.215182,15.393927,0.996003,0.765490,0.000000,0
42,-4.033532,-6.634262,7.332882,0.312686,0.810119,0.000000,0
43,1.831588,-1.163663,8.603733,0.999982,0.798087,0.000000,0
44,4.889328,-3.327192,2.882124,0.997226,0.758347,0.000000,0
45,7.248275,4.797396,3.836039,0.870466,0.747222,0.000000,0
46,-6.287372,1.464983,13.849474,0.998695,0.771910,0.000000,0
47,3.226737,6.654079,9.139121,-0.971400,0.768819,0.000000,1
48,-3.402723,-5.758672,19.064145,0.969593,0.727495,0.000000,0
49,-7.823927,-6.530996,20.866567,0.994644,0.764910,0.000000,0
50,-1.566601,4.302514,19.274702,0.999935,0.789392,0.000000,0
51,3.992389,6.005542,14.749433,0.999974,0.745634,0.000000,0
52,-2.752479,0.283200,19.915310,0.963428,0.765839,0.000000,0
53,6.136333,5.818985,22.571113,0.587857,0.759458,0.000000,0
