Attribute,Value
Number Critical Scenarios,261
Number Critical Scenarios (duplicate free),70
Number All Scenarios,1000
Number All Scenarios (duplicate free),273
Number Best Critical Scenarios,164
Number Best Critical Scenarios (duplicate free),17
Number Best Scenarios,434
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.38
Ratio Best Critical/Best Scenarios (duplicate free),0.39
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.987413  0.832595 -3.891924]
Input value of critical (first of population of interest),[ 7.994442  4.219498 15.459454]
