n_evals,hv_all
40,0.0
80,0.3358584910281244
120,0.3462900201549429
160,0.41588658582194177
200,0.4188206064731175
240,0.42535037108038637
280,0.5151243962786554
320,0.5169686073717055
360,0.5174509608592857
400,0.5374491178379399
440,0.5606912379407671
480,0.5681848021639947
520,0.5845499742779555
560,0.5852943680912936
600,0.6831052905442911
640,0.6831052905442911
680,0.7199586687204347
720,0.7425339088187315
760,0.7464036002407283
800,0.7653726121949646
840,0.7653726121949646
880,0.7842970245351212
920,0.7842970245351212
960,0.784665042325049
1000,0.7850136445967677
1040,0.7850163805032926
1080,0.788563743106602
1120,0.7885646136076947
1160,0.7885646136076947
1200,0.7898951869999016
1240,0.7908550286760718
1280,0.7974467069508923
1320,0.7980765751791091
1360,0.7981717136180511
1400,0.7992930715003921
1440,0.7992932125992045
1480,0.7992933270356462
1520,0.79929337245603
1560,0.7993093276908071
1600,0.7993095433631079
1640,0.7995389741528096
1680,0.7995422563960835
1720,0.7995932173535527
1760,0.79983159411801
1800,0.79983159411801
1840,0.800842392527027
1880,0.800842392527027
1920,0.8008428363191604
1960,0.8008743409684774
2000,0.8010388015151522
