run,RS,NSGA-II-D,NSGA-II
1,0.0806223449445897,0.17384156103940987,0.27418436306444094
2,0.09050538326904302,0.16647103278319786,0.3033372207920817
3,0.08736154053738777,0.16163532273909337,0.2569834267996545
4,0.08859281143945007,0.2165983579038043,0.47832287812642055
5,0.08310181926949614,0.1891230539110394,0.29905587805319567
6,0.09101311953827775,0.209938748477055,0.26264905632339697
7,0.08066307705399596,0.23420238808633337,0.296904777377625
8,0.09238780392805664,0.25353142617058005,0.28526968435369277
9,0.084232603428873,0.2058442733306815,0.35894158334607373
10,0.08594058143578752,0.1439441676082746,0.24929735914253823
