Attribute,Value
Number Critical Scenarios,473
Number Critical Scenarios (duplicate free),129
Number All Scenarios,1000
Number All Scenarios (duplicate free),267
Number Best Critical Scenarios,9
Number Best Critical Scenarios (duplicate free),9
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.47
Ratio Critical/All scenarios (duplicate free),0.48
Ratio Best Critical/Best Scenarios,0.45
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.97081947  0.72086546]
Input value of critical (first of population of interest),[-7.40076413 -5.48422946 15.64927157]
