Attribute,Value
Number Critical Scenarios,457
Number Critical Scenarios (duplicate free),134
Number All Scenarios,1000
Number All Scenarios (duplicate free),247
Number Best Critical Scenarios,11
Number Best Critical Scenarios (duplicate free),11
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.46
Ratio Critical/All scenarios (duplicate free),0.54
Ratio Best Critical/Best Scenarios,0.55
Ratio Best Critical/Best Scenarios (duplicate free),0.55
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.98118508  0.80981611  0.        ]
Input value of critical (first of population of interest),[-5.79934392 -6.31027847  2.30779671]
