Attribute,Value
Number Critical Scenarios,395
Number Critical Scenarios (duplicate free),95
Number All Scenarios,1000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,173
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,539
Number Best Scenarios (duplicate free),44
Ratio Critical/All scenarios,0.40
Ratio Critical/All scenarios (duplicate free),0.42
Ratio Best Critical/Best Scenarios,0.32
Ratio Best Critical/Best Scenarios (duplicate free),0.45
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.987792  0.739588  0.      ]
Input value of critical (first of population of interest),[ 3.310327 -6.489421  2.342949]
