algo (subject: RS),p_value,effect
MOPSO,0.064453125,0.34
NSGA-II,0.10546875,0.26
NSGAII-DJ_A0.29_SEQ,0.4921875,0.37
algo (subject: MOPSO),p_value,effect
NSGA-II,0.845703125,0.425
NSGAII-DJ_A0.29_SEQ,0.921875,0.57
algo (subject: NSGA-II),p_value,effect
NSGAII-DJ_A0.29_SEQ,0.431640625,0.65
