run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.37614115852565033,0.7980631291400246,0.8456621152412999,0.2736049018376958
2,0.43188799709765613,1.061713941610033,0.6488649102172598,0.42567491728855
3,0.24429882188009835,0.6374604829865245,0.5342755694606981,0.9164865532204873
4,0.462785719413124,0.4821076796149648,0.39033439285064386,0.6087202778861667
5,0.24460525157702695,0.31184406177113766,0.717729866910631,0.640300613019565
6,0.3490020030082621,0.3592173352689361,1.0670190944702538,0.7698671871409608
7,0.884618052193718,0.37680565714345793,1,0.24784446515918926
8,0.5054281391563528,1,0.6633418723224573,1.2784290135817875
9,0.26766021356814457,0.28013343744473657,0.7471651037506317,0.5208152724213531
10,1.1466937412708922,1.2291172215597679,0.3016389112600279,0.24784446515918926
