Attribute,Value
Number Critical Scenarios,157
Number Critical Scenarios (duplicate free),63
Number All Scenarios,1000
Number All Scenarios (duplicate free),246
Number Best Critical Scenarios,44
Number Best Critical Scenarios (duplicate free),20
Number Best Scenarios,541
Number Best Scenarios (duplicate free),61
Ratio Critical/All scenarios,0.16
Ratio Critical/All scenarios (duplicate free),0.26
Ratio Best Critical/Best Scenarios,0.08
Ratio Best Critical/Best Scenarios (duplicate free),0.33
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.959714  0.85729  -1.300343]
Input value of critical (first of population of interest),[-4.165193 -7.100842  1.894078]
