Attribute,Value
Number Critical Scenarios,677
Number Critical Scenarios (duplicate free),133
Number All Scenarios,1000
Number All Scenarios (duplicate free),193
Number Best Critical Scenarios,336
Number Best Critical Scenarios (duplicate free),44
Number Best Scenarios,514
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.68
Ratio Critical/All scenarios (duplicate free),0.69
Ratio Best Critical/Best Scenarios,0.65
Ratio Best Critical/Best Scenarios (duplicate free),0.90
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.781476  0.698204  0.      ]
Input value of critical (first of population of interest),[3.755376 2.847322 2.716899]
