Attribute,Value
Number Critical Scenarios,264
Number Critical Scenarios (duplicate free),65
Number All Scenarios,1000
Number All Scenarios (duplicate free),210
Number Best Critical Scenarios,177
Number Best Critical Scenarios (duplicate free),23
Number Best Scenarios,519
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.26
Ratio Critical/All scenarios (duplicate free),0.31
Ratio Best Critical/Best Scenarios,0.34
Ratio Best Critical/Best Scenarios (duplicate free),0.50
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.988847  0.675648  0.      ]
Input value of critical (first of population of interest),[0.085297 2.127657 3.653874]
