Attribute,Value
Id,1196703f-4746-43c1-b33d-267e87ddead9
Timestamp,04-03-2024_15:47:33
Problem,Demo_AVP_NSGAII_Diverse
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,FitnessAdaptedDistanceSpeedArchiveDistance
Critical function,CriticalAdasAdaptedDistanceVelocity_VerySmall
Search time,0.00 sec
