Attribute,Value
Number Critical Scenarios,330
Number Critical Scenarios (duplicate free),74
Number All Scenarios,1000
Number All Scenarios (duplicate free),231
Number Best Critical Scenarios,72
Number Best Critical Scenarios (duplicate free),19
Number Best Scenarios,398
Number Best Scenarios (duplicate free),48
Ratio Critical/All scenarios,0.33
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,0.18
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999973  0.821176 -4.321132]
Input value of critical (first of population of interest),[ 2.996065 -5.450387  2.357861]
