Attribute,Value
Id,8c5d2181-8df9-43d9-9cf7-9535387df9c4
Timestamp,06-12-2023_22:34:18
Problem,Demo_AVP_Metrics_Paper
Algorithm,NSGA-II
Search variables,"['Ego_HostVelGain', 'Other_Velocity_mps', 'Other_Time_s']"
Search space,"[(0.1, 1.0), (0.5, 2.0), (0.0, 5.0)]"
Fitness function,FitnessAdaptedDistanceSpeed
Critical function,CriticalAdasAdaptedDistanceVelocity_Medium
Search time,0.00 sec
