Attribute,Value
Number Critical Scenarios,19
Number Critical Scenarios (duplicate free),19
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,4
Number Best Critical Scenarios (duplicate free),4
Number Best Scenarios,14
Number Best Scenarios (duplicate free),14
Ratio Critical/All scenarios,0.02
Ratio Critical/All scenarios (duplicate free),0.02
Ratio Best Critical/Best Scenarios,0.29
Ratio Best Critical/Best Scenarios (duplicate free),0.29
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.95876   0.807575  0.      ]
Input value of critical (first of population of interest),[-6.163529  4.766391  3.256118]
