Attribute,Value
Number Critical Scenarios,110
Number Critical Scenarios (duplicate free),37
Number All Scenarios,1000
Number All Scenarios (duplicate free),275
Number Best Critical Scenarios,77
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,463
Number Best Scenarios (duplicate free),65
Ratio Critical/All scenarios,0.11
Ratio Critical/All scenarios (duplicate free),0.13
Ratio Best Critical/Best Scenarios,0.17
Ratio Best Critical/Best Scenarios (duplicate free),0.28
Iteration first critical found,5
Fitness value of critical (first of population of interest),[-0.99999   0.805754 -1.51765 ]
Input value of critical (first of population of interest),[ 1.602853 -6.651449  3.812003]
