Attribute,Value
Number Critical Scenarios,111
Number Critical Scenarios (duplicate free),39
Number All Scenarios,1000
Number All Scenarios (duplicate free),249
Number Best Critical Scenarios,38
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,498
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.11
Ratio Critical/All scenarios (duplicate free),0.16
Ratio Best Critical/Best Scenarios,0.08
Ratio Best Critical/Best Scenarios (duplicate free),0.24
Iteration first critical found,9
Fitness value of critical (first of population of interest),[-0.960235  0.854613 -1.128554]
Input value of critical (first of population of interest),[ 0.931326  6.095343 15.98546 ]
