Attribute,Value
Number Critical Scenarios,236
Number Critical Scenarios (duplicate free),74
Number All Scenarios,1000
Number All Scenarios (duplicate free),269
Number Best Critical Scenarios,6
Number Best Critical Scenarios (duplicate free),6
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.24
Ratio Critical/All scenarios (duplicate free),0.28
Ratio Best Critical/Best Scenarios,0.30
Ratio Best Critical/Best Scenarios (duplicate free),0.30
Iteration first critical found,4
Fitness value of critical (first of population of interest),[-0.73275489  0.81946183 -0.63040063]
Input value of critical (first of population of interest),[-0.10509727  6.42033015 12.29334265]
