Attribute,Value
Number Critical Scenarios,331
Number Critical Scenarios (duplicate free),78
Number All Scenarios,1000
Number All Scenarios (duplicate free),231
Number Best Critical Scenarios,217
Number Best Critical Scenarios (duplicate free),27
Number Best Scenarios,613
Number Best Scenarios (duplicate free),67
Ratio Critical/All scenarios,0.33
Ratio Critical/All scenarios (duplicate free),0.34
Ratio Best Critical/Best Scenarios,0.35
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.999805  0.768889 -5.000959]
Input value of critical (first of population of interest),[-5.554542  1.884081  2.908363]
