Attribute,Value
Number Critical Scenarios,939
Number Critical Scenarios (duplicate free),156
Number All Scenarios,1000
Number All Scenarios (duplicate free),176
Number Best Critical Scenarios,615
Number Best Critical Scenarios (duplicate free),54
Number Best Scenarios,646
Number Best Scenarios (duplicate free),56
Ratio Critical/All scenarios,0.94
Ratio Critical/All scenarios (duplicate free),0.89
Ratio Best Critical/Best Scenarios,0.95
Ratio Best Critical/Best Scenarios (duplicate free),0.96
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.998004  0.790773  0.      ]
Input value of critical (first of population of interest),[-3.912449  0.534446  2.659045]
