run,RS,NSGA-II-D,NSGA-II
1,0.40085623314083585,0.3606076592596515,0.47572482366191626
2,0.4451419170661491,0.4174379624796743,0.4465843911657413
3,0.3786520630806699,0.3233923730758974,0.5899813552185141
4,0.34433823435661115,0.3233923730758974,1
5,0.34433823435661115,0.3511071221804504,1
6,0.4451419170661491,0.4346074288788807,0.4465843911657413
7,0.40085623314083585,0.3606076592596515,0.47572482366191626
8,0.40784879018044734,0.4346074288788807,0.43884673050161926
9,0.3786520630806699,0.3511071221804504,0.5899813552185141
10,0.40784879018044734,0.4174379624796743,0.43884673050161926
