RS_n_evals,RS_cid,RS_cid_sigma,NSGA-II-D_n_evals,NSGA-II-D_cid,NSGA-II-D_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma
100.0,0.7527729139816652,0.17078228247054839,100.0,0.742742030011107,0.1428144847625453,100.0,0.8097848179475651,0.17344367852107603
200.0,0.6184183507660022,0.20884882438678604,200.0,0.5391816812412387,0.1215874901212359,200.0,0.7176261313344221,0.24605387922305538
300.0,0.5396744458174654,0.13830039494616297,300.0,0.5161050009920303,0.10045945409615659,300.0,0.6493918295477981,0.2045515730758283
400.0,0.4577153056788831,0.04931043713848705,400.0,0.5055405203824568,0.0985519522670896,400.0,0.634335082147085,0.20631952959002017
500.0,0.4481669814293868,0.04689748478983896,500.0,0.4409980660389207,0.025645866341552637,500.0,0.5918362803818656,0.2222958233097554
600.0,0.4415988318107808,0.04913038665413889,600.0,0.42769323184645947,0.020374298194922886,600.0,0.5917090293091716,0.2223607352269405
700.0,0.41647010402464824,0.035878967499080414,700.0,0.3989689118613465,0.032528524854113144,700.0,0.5916349597553515,0.22239404249062517
800.0,0.40624607816880276,0.043326133232274563,800.0,0.38950883240948564,0.038056990471828055,800.0,0.5915891614365204,0.22239448360329733
900.0,0.40436999713584393,0.04397748320864006,900.0,0.38169786083526774,0.039168705790500184,900.0,0.5905372096098074,0.22316897957800721
1000.0,0.39536744756494263,0.0351086984278151,1000.0,0.3774305091749109,0.044135764288421635,1000.0,0.5902274601095582,0.22339496926672872
