Attribute,Value
Number Critical Scenarios,680
Number Critical Scenarios (duplicate free),68
Number All Scenarios,2000
Number All Scenarios (duplicate free),270
Number Best Critical Scenarios,442
Number Best Critical Scenarios (duplicate free),22
Number Best Scenarios,1159
Number Best Scenarios (duplicate free),53
Ratio Critical/All scenarios,0.34
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,0.38
Ratio Best Critical/Best Scenarios (duplicate free),0.42
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.995916 -2.541162 -9.52094 ]
Input value of critical (first of population of interest),[0.489185 0.663967 0.05996 ]
