Attribute,Value
Number Critical Scenarios,202
Number Critical Scenarios (duplicate free),202
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,13
Number Best Scenarios (duplicate free),13
Ratio Critical/All scenarios,0.20
Ratio Critical/All scenarios (duplicate free),0.20
Ratio Best Critical/Best Scenarios,0.92
Ratio Best Critical/Best Scenarios (duplicate free),0.92
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999956  0.798197  0.      ]
Input value of critical (first of population of interest),[ 6.235045 -7.743052  9.458922]
