n_evals,hv_all
40,0.00841704236319442
80,0.03645581425340579
120,0.09761829967488193
160,0.1042433365524374
200,0.1075395409716258
240,0.1075395409716258
280,0.17867447729246752
320,0.1787446043120188
360,0.18532638914140145
400,0.18532638914140145
440,0.19307175111562816
480,0.1937790741036726
520,0.1949644494387024
560,0.20114443222751918
600,0.3456388341831419
640,0.34596206131185037
680,0.34596206131185037
720,0.34652329024201745
760,0.34765047479835054
800,0.35837281726008524
840,0.3583728391585029
880,0.35877656557160326
920,0.3674475853987922
960,0.36744819364472675
1000,0.36745161665762194
1040,0.36745161665762194
1080,0.37424003698380875
1120,0.3775148262928938
1160,0.3962540822728934
1200,0.3962540822728934
1240,0.398236952778847
1280,0.3984950322697825
1320,0.39852764561465415
1360,0.3985370699521827
1400,0.4070444549227982
1440,0.4252470290750929
1480,0.4252478215266955
1520,0.42529073593010097
1560,0.4253993446528346
1600,0.42548778900639267
1640,0.4255409686698347
1680,0.4255409686698347
1720,0.4255409686698347
1760,0.4256476419141277
1800,0.42565022539474157
1840,0.42565022539474157
1880,0.4256666187804565
1920,0.42566808479397966
1960,0.42566808479397966
2000,0.42566808479397966
