run,RS,NSGA-II-D,NSGA-II
1,0.17093054456200993,0.43211052498751384,0.32427143933417696
2,0.16386882771153394,0.23312028380939556,0.6273059618592068
3,0.1751698482098464,0.28147308955925465,0.6273059618592068
4,0.19816139687874884,0.32183906582448013,0.4716976128717579
5,0.1584876988659407,0.2585888456560122,0.6281958709803963
6,0.21816451117698818,0.368368431058233,0.5814180162214178
7,0.17964704956581293,0.29354496852586,0.48502549489477603
8,0.16436980006374957,0.23390177713815585,0.6281958709803963
9,0.1630113879891376,0.3018797651478945,0.4716976128717579
10,0.1742585018433374,0.33377452657531503,0.6281958709803963
