Attribute,Value
Number Critical Scenarios,567
Number Critical Scenarios (duplicate free),138
Number All Scenarios,1000
Number All Scenarios (duplicate free),270
Number Best Critical Scenarios,12
Number Best Critical Scenarios (duplicate free),12
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.57
Ratio Critical/All scenarios (duplicate free),0.51
Ratio Best Critical/Best Scenarios,0.60
Ratio Best Critical/Best Scenarios (duplicate free),0.60
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.78770167  0.80767974]
Input value of critical (first of population of interest),[1.55010341 3.15103846 6.44757624]
