Attribute,Value
Number Critical Scenarios,253
Number Critical Scenarios (duplicate free),253
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,10
Number Best Critical Scenarios (duplicate free),10
Number Best Scenarios,10
Number Best Scenarios (duplicate free),10
Ratio Critical/All scenarios,0.25
Ratio Critical/All scenarios (duplicate free),0.25
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999976  0.80277958  0.        ]
Input value of critical (first of population of interest),[ 2.19257754 -6.27997122  2.28120928]
