Attribute,Value
Number Critical Scenarios,437
Number Critical Scenarios (duplicate free),106
Number All Scenarios,1000
Number All Scenarios (duplicate free),226
Number Best Critical Scenarios,8
Number Best Critical Scenarios (duplicate free),8
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.44
Ratio Critical/All scenarios (duplicate free),0.47
Ratio Best Critical/Best Scenarios,0.40
Ratio Best Critical/Best Scenarios (duplicate free),0.40
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.98779213  0.73958757  0.        ]
Input value of critical (first of population of interest),[ 3.31032659 -6.48942068  2.34294945]
