Attribute,Value
Number Critical Scenarios,289
Number Critical Scenarios (duplicate free),74
Number All Scenarios,1000
Number All Scenarios (duplicate free),181
Number Best Critical Scenarios,82
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,643
Number Best Scenarios (duplicate free),46
Ratio Critical/All scenarios,0.29
Ratio Critical/All scenarios (duplicate free),0.41
Ratio Best Critical/Best Scenarios,0.13
Ratio Best Critical/Best Scenarios (duplicate free),0.30
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.999941  0.807234  0.      ]
Input value of critical (first of population of interest),[ 3.799851 -4.632341  1.764523]
