Attribute,Value
Number Critical Scenarios,352
Number Critical Scenarios (duplicate free),352
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,18
Number Best Critical Scenarios (duplicate free),18
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.35
Ratio Critical/All scenarios (duplicate free),0.35
Ratio Best Critical/Best Scenarios,0.90
Ratio Best Critical/Best Scenarios (duplicate free),0.90
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99999946  0.81016512  0.        ]
Input value of critical (first of population of interest),[ 0.21564995 -6.52726164  2.23732041]
