Attribute,Value
Number Critical Scenarios,11
Number Critical Scenarios (duplicate free),11
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.01
Ratio Critical/All scenarios (duplicate free),0.01
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.43
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.804173  0.      ]
Input value of critical (first of population of interest),[-7.1789    6.307129  5.100916]
