Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
1172,0.346549,1.363058,4.988279,-0.999578,-1.169097,-14.115972
1173,0.609619,0.768998,0.100087,-0.995773,-2.775522,-10.137164
1174,0.609619,0.769273,0.599903,-0.909695,-1.841011,-14.115972
1175,0.572056,0.981177,0.547632,-0.759403,-3.417153,-13.627846
1176,0.346549,1.363079,4.732520,-0.930258,-1.174009,-14.115972
1177,0.631097,0.801005,0.047340,-0.706551,-2.888615,-14.115972
1178,0.571867,0.776825,0.499138,-0.993696,-2.669443,-10.437252
1179,0.629314,0.778893,0.047115,-0.983815,-2.886337,-11.164291
1180,0.571867,0.776825,0.547558,-0.991589,-2.669443,-11.433821
1181,0.629356,0.778891,0.048367,-0.974604,-2.886335,-12.132852
1182,0.346549,1.363079,4.989038,-0.999580,-1.169097,-13.627846
1183,0.348075,1.363058,4.989019,-0.995770,-1.172960,-13.101654
1184,0.603188,0.876487,1.045420,-0.990429,-2.729576,-11.704562
1185,0.637236,0.778891,0.048367,-0.992123,-2.808194,-10.823611
1186,0.572056,0.781847,0.547558,-0.999349,-2.669211,-10.137164
1187,0.635675,0.778904,0.047115,-0.965225,-2.813622,-13.627846
1188,0.629314,0.778893,0.011722,-0.961157,-2.886337,-12.959662
1189,0.567227,0.782290,0.605299,-0.995518,-2.653049,-13.101654
1190,0.567227,0.782290,0.549886,-0.994527,-2.653049,-13.572370
1191,0.629356,0.778891,0.095583,-0.986935,-2.804777,-12.132852
1192,0.567227,0.778184,0.530560,-0.996810,-2.653049,-12.959662
1193,0.629314,0.778891,0.091650,-0.982938,-2.804780,-12.132852
1194,0.572056,0.776825,0.547558,-0.997475,-2.669211,-10.823611
1195,0.346529,1.376253,4.997545,-0.998705,-1.169127,-14.115972
1196,0.571867,0.787078,0.547558,-0.991353,-2.669443,-13.627846
