Attribute,Value
Number Critical Scenarios,320
Number Critical Scenarios (duplicate free),320
Number All Scenarios,1000
Number All Scenarios (duplicate free),1000
Number Best Critical Scenarios,16
Number Best Critical Scenarios (duplicate free),16
Number Best Scenarios,16
Number Best Scenarios (duplicate free),16
Ratio Critical/All scenarios,0.32
Ratio Critical/All scenarios (duplicate free),0.32
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-1.        0.759477  0.      ]
Input value of critical (first of population of interest),[-4.533266  5.621365  3.367656]
