Attribute,Value
Number Critical Scenarios,585
Number Critical Scenarios (duplicate free),116
Number All Scenarios,1000
Number All Scenarios (duplicate free),198
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.58
Ratio Critical/All scenarios (duplicate free),0.59
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.79489547  0.73779095  0.        ]
Input value of critical (first of population of interest),[-7.03953949 -3.37093077  8.93981179]
