Attribute,Value
Number Critical Scenarios,746
Number Critical Scenarios (duplicate free),268
Number All Scenarios,1000
Number All Scenarios (duplicate free),374
Number Best Critical Scenarios,14
Number Best Critical Scenarios (duplicate free),14
Number Best Scenarios,20
Number Best Scenarios (duplicate free),20
Ratio Critical/All scenarios,0.75
Ratio Critical/All scenarios (duplicate free),0.72
Ratio Best Critical/Best Scenarios,0.70
Ratio Best Critical/Best Scenarios (duplicate free),0.70
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99979722  0.83081482]
Input value of critical (first of population of interest),[-3.52428596  7.49193841  5.78135522]
