Attribute,Value
Number Critical Scenarios,1
Number Critical Scenarios (duplicate free),1
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,1
Number Best Critical Scenarios (duplicate free),1
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.00
Ratio Critical/All scenarios (duplicate free),0.00
Ratio Best Critical/Best Scenarios,0.14
Ratio Best Critical/Best Scenarios (duplicate free),0.14
Iteration first critical found,8
Fitness value of critical (first of population of interest),[-0.994608 -2.69892 ]
Input value of critical (first of population of interest),[0.523351 0.712004 0.236745]
