Attribute,Value
Number Critical Scenarios,867
Number Critical Scenarios (duplicate free),207
Number All Scenarios,1000
Number All Scenarios (duplicate free),312
Number Best Critical Scenarios,315
Number Best Critical Scenarios (duplicate free),42
Number Best Scenarios,315
Number Best Scenarios (duplicate free),42
Ratio Critical/All scenarios,0.87
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,3
Fitness value of critical (first of population of interest),[-0.999977  0.829065]
Input value of critical (first of population of interest),[ 1.93143  -5.304157  2.294331]
