Attribute,Value
Number Critical Scenarios,681
Number Critical Scenarios (duplicate free),235
Number All Scenarios,1000
Number All Scenarios (duplicate free),355
Number Best Critical Scenarios,133
Number Best Critical Scenarios (duplicate free),33
Number Best Scenarios,236
Number Best Scenarios (duplicate free),49
Ratio Critical/All scenarios,0.68
Ratio Critical/All scenarios (duplicate free),0.66
Ratio Best Critical/Best Scenarios,0.56
Ratio Best Critical/Best Scenarios (duplicate free),0.67
Iteration first critical found,2
Fitness value of critical (first of population of interest),[-0.998645  0.769727]
Input value of critical (first of population of interest),[ 5.11721 -6.75375  3.7095 ]
