Attribute,Value
Number Critical Scenarios,981
Number Critical Scenarios (duplicate free),264
Number All Scenarios,1000
Number All Scenarios (duplicate free),278
Number Best Critical Scenarios,241
Number Best Critical Scenarios (duplicate free),37
Number Best Scenarios,241
Number Best Scenarios (duplicate free),37
Ratio Critical/All scenarios,0.98
Ratio Critical/All scenarios (duplicate free),0.95
Ratio Best Critical/Best Scenarios,1.00
Ratio Best Critical/Best Scenarios (duplicate free),1.00
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.997631  0.723908]
Input value of critical (first of population of interest),[ 7.282272 -1.934329  2.669782]
