Index,mut_extent_1,mut_extent_2,vertex_control,Fitness_Confidence_Expected,Fitness_Brightness,Fitness_Distance_Input,Critical
0,0.848572,-4.354695,15.863116,0.988797,0.721281,0.000000,0
1,4.285267,-6.744420,8.423546,0.999999,0.786192,0.000000,0
2,-4.849775,-0.692268,7.572985,0.999993,0.816945,0.000000,0
3,4.621571,-0.824749,18.611383,0.999984,0.762625,0.000000,0
4,-4.198396,6.213375,15.179935,0.999525,0.827821,0.000000,0
5,4.623803,-0.356229,21.063316,0.999986,0.764164,0.000000,0
6,4.556806,1.002055,5.672673,1.000000,0.780302,0.000000,0
7,4.804539,4.331321,22.337826,1.000000,0.790167,0.000000,0
8,0.034499,-0.667032,3.721534,1.000000,0.803428,0.000000,0
9,7.603838,4.513571,10.274435,1.000000,0.749349,0.000000,0
10,0.556964,-3.437090,3.565445,1.000000,0.800732,0.000000,0
11,0.382277,-6.906214,19.872973,0.999997,0.790211,0.000000,0
12,-6.913622,4.620046,17.895457,1.000000,0.782924,0.000000,0
13,2.988120,-4.071415,5.731407,1.000000,0.752381,0.000000,0
14,-6.636590,2.653261,18.470663,1.000000,0.795511,0.000000,0
15,1.262305,-4.195474,6.643701,1.000000,0.831192,0.000000,0
16,-4.650857,-7.126913,6.499393,0.999866,0.754994,0.000000,0
17,0.171226,-3.350123,14.607751,0.999846,0.769544,0.000000,0
18,2.201778,1.556959,18.840076,0.999997,0.788385,0.000000,0
19,-1.371584,1.733009,18.179545,0.999999,0.785971,0.000000,0
20,2.389492,-4.635537,21.977048,0.999994,0.770154,0.000000,0
21,-1.180628,2.342677,12.434760,1.000000,0.784379,0.000000,0
22,3.491085,-3.078948,13.388081,1.000000,0.754097,0.000000,0
23,-5.160913,-2.956223,0.994791,1.000000,0.805566,0.000000,0
24,0.004012,-0.979424,20.136010,1.000000,0.813204,0.000000,0
25,-0.312800,7.852400,3.721251,0.789845,0.816389,0.000000,0
26,7.628702,-6.156517,10.969633,1.000000,0.773488,0.000000,0
27,3.550174,-2.111753,3.434958,0.999957,0.773692,0.000000,0
28,-5.064282,-0.738974,2.772920,0.114901,0.840924,0.000000,0
29,-3.802680,-1.073634,6.386873,1.000000,0.807507,0.000000,0
30,-6.970470,7.030207,4.857687,0.999997,0.785853,0.000000,0
31,3.603151,-3.379020,4.198246,1.000000,0.780735,0.000000,0
32,-6.862389,-3.342782,3.308695,-0.979440,0.850892,0.000000,1
33,-2.164904,0.742675,19.630001,0.999999,0.794044,0.000000,0
34,-2.796111,1.727292,13.707768,1.000000,0.775729,0.000000,0
35,-5.577688,2.715113,14.609892,-0.998214,0.819069,0.000000,1
36,-3.878243,-2.111963,9.405088,0.999993,0.816607,0.000000,0
37,4.290575,-6.514674,20.457624,1.000000,0.793357,0.000000,0
38,-3.267009,-2.877532,15.114455,0.998492,0.786917,0.000000,0
39,6.519991,-6.268685,8.338753,0.999983,0.754822,0.000000,0
40,7.565605,2.193337,19.625093,0.999997,0.760049,0.000000,0
41,3.108497,3.260275,12.074886,0.999996,0.813962,0.000000,0
42,-6.493284,-7.172677,6.000262,0.996699,0.762082,0.000000,0
