Attribute,Value
Number Critical Scenarios,78
Number Critical Scenarios (duplicate free),78
Number All Scenarios,2000
Number All Scenarios (duplicate free),2000
Number Best Critical Scenarios,3
Number Best Critical Scenarios (duplicate free),3
Number Best Scenarios,7
Number Best Scenarios (duplicate free),7
Ratio Critical/All scenarios,0.04
Ratio Critical/All scenarios (duplicate free),0.04
Ratio Best Critical/Best Scenarios,0.43
Ratio Best Critical/Best Scenarios (duplicate free),0.43
Iteration first critical found,1
Fitness value of critical (first of population of interest),[-0.99366  -1.213154]
Input value of critical (first of population of interest),[0.360273 0.538784 0.729584]
