run,RS,MOPSO,NSGA-II,NSGAII-DJ_A0.29_SEQ
1,0.08292982168302654,0.10408014330862041,0.19216484477754145,0.14072713075704057
2,0.07169089599545128,0.10159069272926079,0.2405781869278447,0.17219135149102296
3,0.07121740361152404,0.08603288035112232,0.20650214847436515,0.1848952027561692
4,0.07538883689509045,0.16436027580425008,0.17255059202295803,0.16606742479169143
5,0.07642973399671595,0.09784534296767268,0.2020969246498936,0.13031491883040727
6,0.06934657160289605,0.08658689511364,0.3252370337038845,0.1958951185027686
7,0.07809797335498338,0.08645898295389477,0.29015915657157476,0.13253480638293855
8,0.07561759525327937,0.16138161697646447,0.30451318820872236,0.18756601439122828
9,0.07168747073869923,0.09417355646927485,0.2811603969141084,0.16442962083521354
10,0.08013221233164201,0.09218474838094831,0.18309259723529447,0.13253480638293855
