RS_n_evals,RS_cid,RS_cid_sigma,MOPSO_n_evals,MOPSO_cid,MOPSO_cid_sigma,NSGA-II_n_evals,NSGA-II_cid,NSGA-II_cid_sigma,NSGAII-DJ_A0.29_SEQ_n_evals,NSGAII-DJ_A0.29_SEQ_cid,NSGAII-DJ_A0.29_SEQ_cid_sigma
200.0,0.22430022202281089,0.059220579371281265,200.0,0.30919342691759544,0.0781953472973883,200.0,0.2756593470131265,0.056087347079722384,200.0,0.2812216697013037,0.12161972166608466
400.0,0.15488204918686657,0.03411294662692032,400.0,0.19920688547794135,0.03118820494557427,400.0,0.25862018155059474,0.05347865936147679,400.0,0.22240898872638987,0.051852949626706314
600.0,0.12644224280403948,0.0136704403009623,600.0,0.1605578308629219,0.01796224960036143,600.0,0.2485678434642958,0.053315396046778325,600.0,0.20312617712873152,0.028297825443782378
800.0,0.11284420742426053,0.01071324511470231,800.0,0.13883430450161757,0.023338949598954835,800.0,0.24474708355661315,0.0547705217979497,800.0,0.1919522839153702,0.03466759936633039
1000.0,0.10566488359486315,0.010704928723740783,1000.0,0.13158147839387788,0.026442466706402025,1000.0,0.2433623288841807,0.05543146515898588,1000.0,0.17957832026908332,0.030195486966808942
1200.0,0.09851897818287278,0.01078607743580855,1200.0,0.12141712935492073,0.026238172989870596,1200.0,0.2424234002064963,0.05524380441553299,1200.0,0.17331096769533308,0.02621306135056744
1400.0,0.09016286619755674,0.008281762523835131,1400.0,0.11674749730762099,0.027767772139998294,1400.0,0.24195964781243143,0.0551299826547489,1400.0,0.17067004124874052,0.026789288274489016
1600.0,0.0836541745088741,0.007467989143028863,1600.0,0.11199908482617933,0.027584893615068048,1600.0,0.24023572831891898,0.055806791519171346,1600.0,0.16792989856217583,0.027277163931243534
1800.0,0.07885886332320727,0.006139335168851463,1800.0,0.10947556689721431,0.02882641430287574,1800.0,0.24012037833418298,0.055870924593573186,1800.0,0.16453718634041858,0.028744631222572998
2000.0,0.07525385154633082,0.004332612414422949,2000.0,0.10746951350551485,0.02986861724018463,2000.0,0.23980550694861877,0.056047802051370936,2000.0,0.1607156395121419,0.025009731199794383
